,LUCA,Aves,Passeriformes,Tyrannidae,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3855,1.0,1.0,1.0,0.0,253242,7033.043125,1697.0,23.8782406869,18.1006944135,12.320370396,8.52761652735,226.078703704,15923.6296296,1.39337963031,2.24745369316,-96.524563416,17.694389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,6268,BOSQUE MESÓFILO DE MONTAÑA,11184.0,Bosque Mesofilo de Montana,POINT (-96.52456341600001 17.694389801)
3856,1.0,1.0,1.0,1.0,237220,4322.34862793,2291.16666667,22.7972221904,15.6455555545,8.49805555476,30.8504549662,83.4638888889,18401.3305556,1.09386110935,2.33277778029,-98.729563416,20.683389801,3.0,Tropical and Subtropical Coniferous Forests,82902,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,8703.0,Bosque de Galeria,POINT (-98.729563416 20.683389801)
3857,1.0,0.0,0.0,0.0,240201,5304.23000977,343.333333333,27.2200000657,22.4180555556,17.6158332904,183.323854319,160.825,17189.0277778,2.29327777723,1.56777777341,-97.553563416,20.095389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,82810,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,7291.0,Pastizal Cultivado,POINT (-97.553563416 20.095389801)
3858,1.0,1.0,1.0,1.0,243622,2010.65208984,2237.66666667,23.7668981464,17.0101850828,10.250925914,13612.7791341,58.1944444444,18127.7430556,1.09402777958,2.12337962152,-99.121563416,19.409389801,13.0,Deserts and Xeric Shrublands,119395,ZONA URBANA,9776.0,Zona Urbana,POINT (-99.121563416 19.409389801)
3859,1.0,0.0,0.0,0.0,247108,2810.2816569,2352.44444444,20.0666666605,13.2412036812,6.41550925208,105.511673397,36.2592592593,16972.8055556,1.07706017696,2.06967590666,-97.455563416,18.723389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.455563416 18.723389801)
3860,1.0,1.0,1.0,1.0,244663,5365.56673828,79.6666666667,31.5289350704,25.2451390955,18.9597223401,54.1609479056,83.9837962963,16145.4328704,2.49944440469,2.86620369112,-96.426563416,19.213389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,70429,AGRICULTURA DE TEMPORAL ANUAL,9847.0,Agricultura de Riego,POINT (-96.42656341599999 19.213389801)
3861,1.0,0.0,0.0,0.0,241679,786.274160156,2212.55555556,20.8284722522,13.9754629488,7.12337964552,359.060323715,64.0416666667,17081.9837963,1.16273147696,1.87476848783,-97.553563416,19.801389801,3.0,Tropical and Subtropical Coniferous Forests,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.553563416 19.801389801)
3862,1.0,0.0,0.0,0.0,242908,3403.79601563,2947.33333333,16.6412036816,10.6569444504,4.67638887741,33.2902145386,76.9398148148,17440.0740741,0.821273145576,2.65740740575,-97.847563416,19.556389801,3.0,Tropical and Subtropical Coniferous Forests,88849,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE OYAMEL,9849.0,Bosque de Oyamel,POINT (-97.847563416 19.556389801)
3863,1.0,0.0,0.0,0.0,252104,11486.5019141,2608.66666667,19.216666672,13.2930555851,7.36689815477,2.12866156631,57.5231481481,16876.9305556,0.968495368268,2.56643519192,-97.553563416,17.890389801,3.0,Tropical and Subtropical Coniferous Forests,98210,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,11153.0,Bosque de Encino,POINT (-97.553563416 17.890389801)
3864,1.0,0.0,0.0,0.0,239481,1610.69806586,3.33333333333,28.5833333061,24.3242858523,20.0623809315,50.6123326438,142.728571429,16956.8595238,2.55495238815,3.16142857813,-96.8194266331,20.2415257845,14.0,Mangroves,41925,PASTIZAL CULTIVADO,9091.0,Manglar,POINT (-96.81942663309999 20.2415257845)
